"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Addressing bright young minds at @iitmadras convocation. Watch. https://t.co/Tsw37pT7de",FALSE,9938,NA,2019-09-30 06:35:04,FALSE,NA,"1178558865677275136",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","narendramodi",2089,FALSE,FALSE,NA,NA
"2","Interacting with young innovators at the #SingaporeIndiaHackathon. Watch. https://t.co/NBuTlMymcL",FALSE,11727,NA,2019-09-30 04:57:38,FALSE,NA,"1178534345008566272",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","narendramodi",2341,FALSE,FALSE,NA,NA
"3","Speaking at Chennai Airport. Watch. https://t.co/7qWBSkMO5R",FALSE,17132,NA,2019-09-30 03:51:43,FALSE,NA,"1178517757261824000",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","narendramodi",3270,FALSE,FALSE,NA,NA
"4","<U+0928><U+0935><U+0930><U+093E><U+0924><U+094D><U+0930><U+093F> <U+092E><U+0947><U+0902> <U+0906><U+091C> <U+092E><U+093E><U+0924><U+093E> <U+0915><U+0947> <U+0926><U+0942><U+0938><U+0930><U+0947> <U+0938><U+094D><U+0935><U+0930><U+0942><U+092A> <U+092E><U+093E><U+0902> <U+092C><U+094D><U+0930><U+0939><U+094D><U+092E><U+091A><U+093E><U+0930><U+093F><U+0923><U+0940> <U+0915><U+0940> <U+092A><U+0942><U+091C><U+093E> <U+0939><U+0948><U+0964> <U+0915><U+0920><U+093F><U+0928> <U+0924><U+092A> <U+0938><U+0947> <U+092B><U+0932> <U+092A><U+094D><U+0930><U+093E><U+092A><U+094D><U+0924><U+093F> <U+0915><U+0940> <U+092A><U+094D><U+0930><U+0947><U+0930><U+0923><U+093E> <U+0926><U+0947><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0940> <U+092E><U+093E><U+0902>… https://t.co/597oCWehBg",FALSE,63067,NA,2019-09-30 00:46:06,TRUE,NA,"1178471043066822656",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",11158,FALSE,FALSE,NA,NA
"5","Joined extensive Central Election Committee meetings for elections in Haryana and Maharashtra. We are going to poll… https://t.co/g41ZUNVKnk",FALSE,15838,NA,2019-09-29 16:59:47,TRUE,NA,"1178353689901187073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2561,FALSE,FALSE,NA,NA
"6","It does not happen often that the world discusses the runner-up as much as the winner. That is why, when… https://t.co/cXQhQc9PyF",FALSE,9465,NA,2019-09-29 11:23:43,TRUE,NA,"1178269118761299968",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",1961,FALSE,FALSE,NA,NA
"7","During #MannKiBaat, I spoke to the phenomenal Ripudaman Ji, who is improving both fitness and cleanliness levels th… https://t.co/tPWTm9LBKD",FALSE,9938,NA,2019-09-29 11:23:07,TRUE,NA,"1178268965610512384",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",1992,FALSE,FALSE,NA,NA
"8","There is much misinformation about e-cigarettes. 

They are extremely harmful for health. What is even worse is tha… https://t.co/3DF9V1q4jq",FALSE,17163,NA,2019-09-29 11:22:15,TRUE,NA,"1178268747603120128",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",3670,FALSE,FALSE,NA,NA
"9","This Diwali, let us salute the indomitable Nari Shakti of India.

Let us make this year’s Diwali about… https://t.co/cRqVUQ50xj",FALSE,18986,NA,2019-09-29 11:21:46,TRUE,NA,"1178268626949824512",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",3637,FALSE,FALSE,NA,NA
"10","Delivery in, delivery out…

Here is how you can bring smiles on the faces of several others during this festive sea… https://t.co/87UtRCpkwZ",FALSE,9508,NA,2019-09-29 11:20:58,TRUE,NA,"1178268426533404673",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",1986,FALSE,FALSE,NA,NA
